site_name,model_type,intercept_val,slope_val,DataCalStart,DataCalEnd
Red Barn_1,baseModelList,-1.9345922908042077,0.8434512009251325,2020-10-15T17:00:00Z,2021-04-06T10:00:00Z
Red Barn_1,noOutliersModelList,-1.943141612734034,0.8456403284695996,2020-10-15T17:00:00Z,2021-04-06T10:00:00Z
Red Barn_2,baseModelList,-1.885117789111599,0.8373335993665042,2021-04-06T23:00:00Z,2021-11-09T09:00:00Z
Red Barn_2,noOutliersModelList,-1.9013918461125707,0.8415715498454156,2021-04-06T23:00:00Z,2021-11-09T09:00:00Z
Red Barn_3,baseModelList,-2.0808977865269944,0.8895496819441137,2021-11-09T10:00:00Z,2022-04-21T09:00:00Z
Red Barn_3,noOutliersModelList,-2.0608960008254917,0.8844347701634516,2021-11-09T10:00:00Z,2022-04-21T09:00:00Z
Red Barn_4,baseModelList,-2.499871990339712,0.9200770793493195,2022-04-21T11:00:00Z,2022-11-02T10:00:00Z
Red Barn_4,noOutliersModelList,-2.497655683691829,0.9194137403956145,2022-04-21T11:00:00Z,2022-11-02T10:00:00Z
Red Barn_5,baseModelList,-1.2891636164021432,0.586328767624994,2022-11-02T11:00:00Z,2022-11-15T23:00:00Z
Red Barn_5,noOutliersModelList,-1.8751032890514494,0.7490368231875929,2022-11-02T11:00:00Z,2022-11-15T23:00:00Z
Red Barn_6,baseModelList,-3.958799745000384,1.066040008649817,2023-04-11T00:00:00Z,2023-05-31T23:00:00Z
Red Barn_6,noOutliersModelList,-3.960423917886423,1.066287992616059,2023-04-11T00:00:00Z,2023-05-31T23:00:00Z
Red Barn_7,baseModelList,-4.811532021722707,1.2017763975206324,2023-06-01T00:00:00Z,2023-07-14T23:00:00Z
Red Barn_7,noOutliersModelList,-4.803780495459236,1.2003116325005245,2023-06-01T00:00:00Z,2023-07-14T23:00:00Z
Red Barn_8,baseModelList,NA,NA,NA,NA
Red Barn_8,noOutliersModelList,NA,NA,NA,NA
Red Barn_9,baseModelList,-1.934151526569901,0.7815729731282305,2023-10-18T10:00:00Z,2023-11-25T23:00:00Z
Red Barn_9,noOutliersModelList,-1.9312606122073992,0.7810451143522821,2023-10-18T10:00:00Z,2023-11-25T23:00:00Z
Red Barn_10,baseModelList,-2.0527220532025408,0.7771936840636441,2024-03-17T00:00:00Z,2024-04-02T13:00:00Z
Red Barn_10,noOutliersModelList,-2.0981526892231805,0.7894595509519731,2024-03-17T00:00:00Z,2024-04-02T13:00:00Z
Red Barn_11,baseModelList,-2.3872644015209628,0.9071158065954064,2024-04-02T14:00:00Z,2024-08-06T10:00:00Z
Red Barn_11,noOutliersModelList,-2.3799077439612883,0.9056109564046191,2024-04-02T14:00:00Z,2024-08-06T10:00:00Z
Red Barn_12,baseModelList,-2.567578591861338,0.9195930059173447,2024-08-06T11:00:00Z,2024-11-08T11:00:00Z
Red Barn_12,noOutliersModelList,-2.5644390548326546,0.9189271612410311,2024-08-06T11:00:00Z,2024-11-08T11:00:00Z
Red Barn_13,baseModelList,-1.7588399692626486,0.6427885201595468,2024-11-08T11:00:00Z,2025-04-01T09:00:00Z
Red Barn_13,noOutliersModelList,-1.7588399692626486,0.6427885201595468,2024-11-08T11:00:00Z,2025-04-01T09:00:00Z
Red Barn_14,baseModelList,-1.5276772618635495,0.5751069854911254,2025-04-01T12:00:00Z,2025-11-03T11:00:00Z
Red Barn_14,noOutliersModelList,-1.5403194944869512,0.5782227519446806,2025-04-01T12:00:00Z,2025-11-03T11:00:00Z
