Site,DateTime,Water_Pres_psi,Water_Temp_F,Barom_Pres_psi,Air_Temp_F,Water_Level_ft,Water_Level_NoIce_ft,Filter_Ice,Notes
Confluence,8/9/2020 16:00,11.5,62.43,11.13,100.68,1.04,1.04,0,
Confluence,8/9/2020 17:00,11.5,62.6,11.11,91.61,1.06,1.06,0,
Confluence,8/9/2020 18:00,11.5,62.94,11.13,101.69,1.03,1.03,0,
Confluence,8/9/2020 19:00,11.51,61.91,11.12,93.12,1.06,1.06,0,
Confluence,8/9/2020 20:00,11.51,61.05,11.12,74.62,1.07,1.07,0,
Confluence,8/9/2020 21:00,11.52,59.68,11.13,59.51,1.07,1.07,0,
Confluence,8/9/2020 22:00,11.53,58.48,11.14,51.35,1.07,1.07,0,
Confluence,8/9/2020 23:00,11.53,57.27,11.14,45.65,1.06,1.06,0,
Confluence,8/10/2020 0:00,11.53,55.88,11.14,42.55,1.06,1.06,0,
Confluence,8/10/2020 1:00,11.54,54.5,11.15,40.13,1.07,1.07,0,
Confluence,8/10/2020 2:00,11.53,52.93,11.14,38.06,1.06,1.06,0,
Confluence,8/10/2020 3:00,11.54,51.35,11.15,35.37,1.05,1.05,0,
Confluence,8/10/2020 4:00,11.54,49.76,11.16,33.81,1.04,1.04,0,
Confluence,8/10/2020 5:00,11.54,48.34,11.16,33.41,1.04,1.04,0,
Confluence,8/10/2020 6:00,11.55,47.09,11.17,32.22,1.05,1.05,0,
Confluence,8/10/2020 7:00,11.56,46.19,11.17,31.82,1.05,1.05,0,
Confluence,8/10/2020 8:00,11.56,45.83,11.17,35.56,1.05,1.05,0,
Confluence,8/10/2020 9:00,11.55,46.37,11.17,44.56,1.06,1.06,0,
Confluence,8/10/2020 10:00,11.55,48.16,11.16,57.27,1.06,1.06,0,
Confluence,8/10/2020 11:00,11.54,50.64,11.16,68.76,1.05,1.05,0,
Confluence,8/10/2020 12:00,11.53,53.45,11.15,78.45,1.06,1.06,0,
Confluence,8/10/2020 13:00,11.53,56.23,11.14,83.4,1.06,1.06,0,
Confluence,8/10/2020 14:00,11.52,58.65,11.14,86.1,1.05,1.05,0,
Confluence,8/10/2020 15:00,11.5,60.02,11.13,95.59,1.04,1.04,0,
Confluence,8/10/2020 16:00,11.49,61.23,11.12,94.63,1.04,1.04,0,
Confluence,8/10/2020 17:00,11.49,62.08,11.12,97.53,1.03,1.03,0,
Confluence,8/10/2020 18:00,11.49,61.4,11.11,80.21,1.05,1.05,0,
Confluence,8/10/2020 19:00,11.49,60.88,11.1,76.18,1.06,1.06,0,
Confluence,8/10/2020 20:00,11.49,60.02,11.11,68.76,1.05,1.05,0,
Confluence,8/10/2020 21:00,11.5,58.99,11.11,60.37,1.05,1.05,0,
Confluence,8/10/2020 22:00,11.5,57.96,11.12,55.19,1.04,1.04,0,
Confluence,8/10/2020 23:00,11.51,56.92,11.13,51.87,1.05,1.05,0,
Confluence,8/11/2020 0:00,11.51,55.71,11.13,46.91,1.04,1.04,0,
Confluence,8/11/2020 1:00,11.51,54.15,11.13,42.92,1.03,1.03,0,
Confluence,8/11/2020 2:00,11.51,52.75,11.13,41.25,1.04,1.04,0,
Confluence,8/11/2020 3:00,11.51,51.17,11.13,39.95,1.02,1.02,0,
Confluence,8/11/2020 4:00,11.51,49.94,11.13,39.01,1.03,1.03,0,
Confluence,8/11/2020 5:00,11.51,48.7,11.14,38.06,1.02,1.02,0,
Confluence,8/11/2020 6:00,11.51,47.62,11.15,36.15,1.01,1.01,0,
