General Information,,,,,,,,,,,Solar Power Information,,,,,,,,,Detection Distance,,,,,,,,,,,,,,,,Tuning,,,,Notes,
,,,,,,,Supply Voltage,,Data Downloads,,,,,,,,,,,32mm RR (ft),,,,32mm Center (ft),,,,12mm RR (ft),,,,12mm Center (ft),,Tuning,,,,,,,
Site,Date,Initials,Stage (ft),Time,Debris,Weather,Supply Voltage Downstream,Supply Voltage Upstream,Data Downloads Downstream,Data Downloads Upstream,Solar Voltage (V),Solar Current (A),Solar Input (KwH),Battery Voltage (V),Battery Capacity (percent),Load Current (A),Load Draw (KwH),Operating Temp (C),Load Mode,32mm RR (ft) DS Initial,32mm RR (ft) US Initial,32mm RR (ft) DS Final,32mm RR (ft) US Final,32mm Center (ft) DS Initial,32mm Center (ft) US Initial,32mm Center (ft) DS Final,32mm Center (ft) US Final,12mm RR (ft) DS Initial,12mm RR (ft) US Initial,12mm RR (ft) DS Final,12mm RR (ft) US Final,12mm Center (ft) DS Initial,12mm Center (ft) US Initial,12mm Center (ft) DS Final,12mm Center (ft) US Final,Tuning DS Initial,Tuning US Initial,Tuning DS Final,Tuning US Final,Notes,
Confluence,1/4/2024,"MM, MK",ICE,12:45,NA,partly cloudy,13.3,14.1,CR_CF_A5_20240104,CR_CF_A6_20240104,23.4,7,610.7,13.7,100,2,563.9,56,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,River iced over (3/4 of river channel),
Confluence,1/30/2024,"ER, EA",ICE,14:30,snow and ice,clear and cold,13.6,13.6,CR_CF_A5_20240130,CR_CF_A6_20240130,19,6,627.1,13.7,100,2,580,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/3 channel open. Staff gage in ice. ,
Confluence,3/5/2024,"SG, MK",ICE,15:30,snow on edge,Cloudy,13.3,13.8,CR_CF_A5_20240305,CR_CF_A6_20240305,14,7.3,651.6,13.7,100,2.1,602.9,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"on DTY command ""bad year"" on CF6 even though date and time are correct",
Connectivity Downstream,10/16/2023,"SI, ER",0.6,17:30,None,Cloudy,NA,NA,CRCC_CD_A7_20231016,CR_CD_A8_20231016,13.4,0,3.73,13.3,100,1.8,22,21,15,2,1.85,NA,NA,2.15,1.85,NA,NA,0.55,0.55,NA,NA,0.65,0.55,NA,NA,ok,ok,NA,NA,,
Connectivity Downstream,10/18/2023,"ER, EF, SI",NA,12:40,None,Cloudy and windy,13.9,13.3,CRCC_CD_A7_20231018,CRCC_CD_A8_20231018,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.95,NA,NA,2,1.9,NA,NA,0.55,0.65,NA,NA,0.6,0.75,NA,NA,ok,ok,NA,NA,,
Connectivity Downstream,10/31/2023,"SI, CB",1.59,10:15,None,"Cold, Foggy",NA,14.2,CRCC_CD_A7_20231031,CRCC_CD_A8_20231031,14,8.6,12.91,13.9,100,1.9,86.5,0,15,1.85,1.75,NA,NA,2.25,1.75,NA,NA,0.7,0.15,NA,NA,0.75,0.65,NA,NA,ok,ok,NA,NA,"Noise indicator on CD2, did not notice at first. ",
Connectivity Downstream,11/9/2023,"SI, MM, ER, MK, JE",1.53,9:00,None,"Cold, Cloudy",14.1,14.1,CRCC_CD_A7_20231109,CRCC_CD_A8_20231109,12.7,0.6,197.6,12.7,80,1.7,141.7,3,15,2.1,2.2,NA,NA,2.05,2.2,NA,NA,0.85,0.75,NA,NA,0.8,0.8,NA,NA,out,ok,ok,NA,Tuned DS initial (A7) prior to detection distances. ,
Connectivity Downstream,11/28/2023,"MM, SI",1.6,12:08,None,Sunny,13.7,13.6,CRCC_CD_A7_20231128,CRCC_CD_A8_20231128,19.4,6.1,33.18,13.8,100,1.9,25.34,14,15,1.85,2.05,NA,NA,2.2,1.95,NA,NA,0.35,0.3,NA,NA,0.45,0.45,NA,NA,ok,ok,NA,NA,,
Connectivity Downstream,1/4/2024,"MM, MK",NA,11:15,NA,Cloudy,14.2,14.2,CRCC_CD_A7_20240104,CRCC_CD_A8_20240104,19.6,9.2,59.6,14.2,100,1.9,46.8,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,River ice capped (solid ice). No detection distance.,
Connectivity Downstream,1/30/2024,"ER, EA",Ice,12:35,snow/ice,clear and cold,NA,NA,NA,NA,E01,0,0,11.6,28,0,58.7,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All readers dead, no power- need to call tech support. Could not download data for CD or CS",
Connectivity Downstream,2/13/2024,"SG, ER",NA,11:45,NA,"Cold, clear",14.2,14.6,CRCC_CD_A7_20240213,CRCC_CD_A8_20240213,14.5,27.3,138,14.1,100,2.5,2,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CD1 and 2 stopped 1/27/2024. Solar panels wired incorrectly. Replaced positive inline fuse at MC4 connector. Data reformatted. Both Carker tags being detected on both readers, they have an issue with cross talk. Check previous data files. ",
Connectivity Downstream,3/5/2024,"SG, MK",NA,2:20,snow,cloudy,13.8,13.8,CRCC_CD_A7_20240305,CRCC_CD_A8_20240305,19.3,13.6,28.4,13.7,100,2.4,15,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"On DTY command for CD2/A8 ""bad year"" even though date and time are corect. Cross- talk still occurring on CD1/CD2.",
Connectivity Side Channel,10/16/2023,"SI, ER",0.6,5:30,None,Cloudy,NA,NA,CRCC_CS_A9_20231016,CR_CS_A10_20231016,13.4,0,3.73,13.3,100,1.8,22,21,15,2.2,1.55,NA,NA,2.2,1.85,NA,NA,0.45,0.5,NA,NA,0.5,0.35,NA,NA,ok,ok,NA,NA,Stage recorded from (CD),
Connectivity Side Channel,10/18/2023,"ER, EF, SI",NA,12:50,None,Windy,14.3,NA,CRCC_CS_A9_20231018,CRCC_CS_A10_20231018,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1.15,NA,NA,2.3,2,NA,NA,0.5,0.55,NA,NA,0.55,0.55,NA,NA,ok,ok,NA,NA,See EF data.,
Connectivity Side Channel,10/31/2023,"SI, CB",1.05,10:25,None,"Cold, foggy",14.3,14.2,CRCC_CS_A9_20231031,CRCC_CS_A10_20231031,14,8.6,12.91,13.9,100,1.9,86.5,0,15,2.05,1.85,NA,NA,2.25,2.05,NA,NA,0.65,0.7,NA,NA,0.6,0.6,NA,NA,ok,ok,NA,NA,"Weird nose on CD2, fixed it, weird tags on downstream.",
Connectivity Side Channel,11/9/2023,"SI, MM, ER, MK, JE",1.05,9:30,None,"Cold, Sunny",14.4,14.4,CRCC_CS_A9_20231109,CRCC_CD_A10_20231109,12.7,0.6,197.6,12.7,80,1.7,141.7,3,15,1.9,1.9,NA,NA,2.25,1.9,NA,NA,0.65,0.6,NA,NA,0.7,0.6,NA,NA,ok,ok,NA,NA,Modified side channel gravel to increase flow/fluvial function.,
Connectivity Side Channel,11/28/2023,"MM, SI",0.9,12:20,Ice,Sunny,13.6,13.4,CRCC_CS_A9_20231128,CRCC_CS_A10_20231128,19.4,6.1,33.18,13.8,100,1.9,25.34,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ok,ok,NA,NA,Cannot conduct dietection distances due to river ice.,
Connectivity Side Channel,1/4/2024,"MM, MK",NA,11:30,NA,partly cloudy,14,14.3,CRCC_CS_A9_20240104,CRCC_CS_A10_20240104,19.6,9.2,59.6,14.2,100,1.9,46.8,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,River side channel solid ice cap.  Not sure if there is flow under ice.,
Connectivity Side Channel,1/30/2024,"ER, EA",ice,12:35,snow/ice,clear and cold,NA,NA,NA,NA,E01,0,0,11.6,28,0,58.7,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All readers dead, no power- need to call tech support. Could not download data for CD or CS",
Connectivity Side Channel,2/13/2024,"SG, ER",ice,13:53,snow and ice,"cold, clear",14.4,14.3,CRCC_CS_A9_20240213,CRCC_CS_A10_20240213,14.6,27.3,138,14.1,100,2.5,2,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Site died on 1/27/2024 due to inline fuse in MC4 connector. Reformated data files,
Connectivity Side Channel,3/5/2024,"SG, MK",NA,2:10,snow,cloudy,13.8,14.1,CRCC_CS_A9_20240305,CRCC_CS_A10_20240305,19.2,13.6,28.4,13.7,100,2.4,15,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Connectivity Upstream,10/17/2023,"ER, EF, SI, MK",0,4:42,None,Partly Cloudy,NA,14.1,CRCC_CU_A11_20231017,CR_CU_A12_20231017,14.4,9.7,70,14.1,100,1.7,6,25,15,1.95,1.5,NA,NA,2.3,1.55,NA,NA,0.6,0.4,NA,Na,0.65,0.45,NA,NA,ok,ok,NA,NA,Deployed pressure transdusers at 4:00pm (air and water). 5ft use RR. Upstream: 15ft:1.55(32);0.40(12).25ft: 1.70; 0.60. 35ft: 1.50; 0.45. Downstream: 15ft: 2.20 ; 0.65. 25ft: 1.9; 0.60. 35ft: 1.95; 0.55.,
Connectivity Upstream,10/18/2023,"ER, EF, SI",NA,1:15,None,Windy and cloudy,13.5,13.5,CRCC_CU_A11_20231018,CRCC_CU_A12_20231018,24.2,3.8,670,13.7,100,1.5,423,28,15,1.95,1.5,NA,NA,2,1.55,NA,NA,0.6,0.65,NA,NA,0.45,0.4,NA,NA,ok,ok,NA,NA,See EF data.,
Connectivity Upstream,10/31/2023,"SI, CB",2.43,11:30,None,"Cold, sunny",14.3,14.3,CRCC_CU_A11_20231031,CRCC_CU_A12_20231031,20.3,6.4,6.77,14.2,100,1.5,6.5,6,15,2.1,1.8,NA,NA,2.05,2.15,NA,NA,0.55,0.55,NA,NA,0.65,0.65,NA,NA,ok,ok,NA,NA,,
Connectivity Upstream,11/9/2023,"SI, MM, ER, MK, JE",2.35,11:00,None,"Cold, Sunny",14.3,14.2,CRCC_CU_A11_20231109,CRCC_CD_A12_20231109,24.5,6.6,11.68,14.2,100,1.6,10.75,23,15,1.8,2.1,NA,NA,2.15,2.35,NA,NA,0.55,0.6,NA,NA,0.65,0.7,NA,NA,ok,ok,NA,NA,Wireing looks clean Eric!,
Connectivity Upstream,11/28/2023,"MM, SI",2.4,12:43,Ice,Sunny,13.9,14,CRCC_CU_A11_20231128,CRCC_CU_A10_20231128,24.8,4,20.6,13.7,100,1.5,19.49,18,15,1.85,1.75,NA,NA,1.85,1.7,NA,NA,0.45,0.45,NA,NA,0.5,0.4,NA,NA,ok,ok,NA,NA,,
Connectivity Upstream,1/4/2024,"MM, MK",NA,12:00,NA,partly sunny,14.4,13.8,CRCC_CU_A11_20240104,CRCC_CU_A12_20240104,19.6,4.3,37.3,13.7,100,1.5,35.9,17,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,River completely ice capped. For A11 (antenna) marker tag is reading once/second. *At diversion upstream large amount of water diverts toard reservoir bypassing connecting channel.,
Connectivity Upstream,1/30/2024,"ER, EA",ice,1:44,snow and ice,clear and cold,13.9,13.8,CRCC_CU_A11_20240130_B,CRCC_CU_A12_20240130,E00 24.3,4.5,49.8,13.8,100,1.6,48.2,22,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cull continuosly reading marker tag, reformated detection record. Grounding wire needs to be reattached to rod. ",
Connectivity Upstream,2/13/2024,"ER, SI",ice,15:20,NA,"Cold, clear",14.3,14.3,CRCC_CU_A11_20240213,CRCC_CU_A12_20240213,24.6,3.9,56.7,13.7,100,2,54.8,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Connectivity Upstream,3/5/2024,"SG, MK",NA,3:06,snow,Cloudy,13.3,13.1,CRCC_CU_A11_20240305,CRCC_CU_A12_20240305,13.7,9.7,66.4,13.4,100,1.5,64.7,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cul/All marker tags still always on,
Hitching Post,8/12/2020,"ER, MR",0.89,11:10,none,"partly cloudy, warm",NA,NA,CR_HP_A3_20200812,CR_HP_A4_20200812,21.5,2.8,2.8,14.3,100,0.7,1.5,25,15,0.8,1.3,1,1.3,0.9,1.3,1.1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,Not Quite,Close,Better/OK,OK,"Both A3 and A4 have correct Date/time. Tried 2 different TBS for A3, change TB @ A3 due to slightly better ead range. Neither Antenna is tuning to ""OK""",
Hitching Post,8/20/2020,"MR, SG",Not Recorded,13:00,none,"partly cloudy, warm",NA,NA,CR_HP_A3_20200820,CR_HP_A4_20200820,17.4,1.9,6,13.7,100,0.9,3.8,25,15,1.2,1.35,,0.9,1.35,1.4,,1.25,NA,NA,NA,NA,NA,NA,NA,NA,In Tune,In Tune,Same,Same,Did not get final read ranges after downloads due to thunder/lightning. ,
Hitching Post,9/1/2020,"MR, SG, MK",0.88,16:30,none,"sunny, clear",14.2,14,CR_HP_A3_20200901,CR_HP_A4_20200901,22.4,1.8,10.5,13.7,100,0.9,7.3,25,15,1.25,1.3,NA,NA,1.3,1.3,NA,NA,0.15,0.15,NA,NA,0.1,0.1,NA,NA,In Tune,In Tune,Same,Same,"DS-all detections every 15 min, Date/time OK and Late Longs. US- all detections every 15 min, Date/time OK and Lat/Longs",
Hitching Post,9/30/2020,MR,0.74,11:00,none,sunny,13.9,13.7,CR_HP_A3_20200930,CR_HP_A4_20200930,22.4,1.6,20.1,13.8,100,0.8,15,25,15,1.3,1.1,NA,NA,1.4,1.2,NA,NA,0.2,0.1,NA,NA,0.2,0.1,NA,NA,Ok,OK,Same,Same,"A3 and A4 date, time and marker tags ok, Data dwnload loses Lat Longs",
Hitching Post,10/6/2020,MR,0.82,13:15,none,sunny,14.1,13.7,CR_HP_A3_20201006,CR_HP_A4_20201006,22.1,1.8,22,13.8,100,0.8,16.6,25,15,1.4,1.1,NA,NA,1.35,1.2,NA,NA,0.2,0.1,NA,NA,0.2,0.1,NA,NA,OK,OK,Same,Same,"A3 and A4 date, time and mrker tags ok, No Lat Longs",
Hitching Post,10/8/2020,"SG, MR",0.8,9:40,none,"sunny, hazy",14.8,14.8,CR_HP_A3_20201008,CR_HP_A4_20201008,19.3,3.5,22.7,14.5,100,0.8,17.1,25,15,1.5,0.8,1.35,1.15,1.5,0.75,1.5,1.2,0.2,0.05,0.15,0.15,0.2,0.1,0.15,0.15,OK,Out?,Same,Same,"Tried to tune A4 for 20 min, no ""OK"" or double red lights in tuning box, but detection distances got better",
Hitching Post,10/21/2020,"MR, SG, EF, ER",0.74,14:50,none,sunny,13.9,13.6,CR_HP_A3_20201021,CR_HP_A4_20201021,22.9,2.7,27.7,13.7,100,1.1,21.3,25,15,1.35,1.25,NA,NA,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OK,OK,Same,Same,,
Hitching Post,11/4/2020,"MR, SG",0.8,11:30,"sticks, cleared",sunny,14,13.6,CR_HP_A3_20201104,CR_HP_A4_20201104,22.4,2.9,32.4,13.7,100,1.1,25.8,25,15,1.3,1.2,NA,NA,1.4,1.2,NA,NA,0.2,0.1,NA,NA,0.2,0.1,NA,NA,OK,OK,Same,Same,"A3 DT wrong upon arrival. Tags did not initially read, turned reader on and off and it worked. Unplugged GNSS after 2nd download and fixed date and time. A4- date and time wrong upon arrival, unplugged GNSS and plugged it back in to fix it. ORSR04 power button beginning to fail. Used ""ON"" and ""ST"" commands in hyperterminal to power on and go to standbye mode",
Hitching Post,12/3/2020,MR,~1.2,14:30,ICE,sunny,13.8,12.9,CR_HP_A3_20201203,CR_HP_A4_20201203,23.6,2.5,41.2,13.8,100,0.9,33.8,25,15,1.4,0.7,NA,NA,NA,NA,NA,NA,0.2,Touching,NA,NA,NA,NA,NA,NA,OK,OK,Same,Same,"A3 and A4 date and time ok. A4 no marker tag, fish only. A4 marker tag changed and all marker tag batteries. New A4 marker tag number ___5665",
Hitching Post,12/10/2020,"MR, SG",ICE,11:10,ICE,overcast,14.5,12.9,CR_HP_A3_20201210,CR_HP_A4_20201210,14.9,3.1,43.3,14.5,100,0.9,35.8,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Iced over. Date and times ok. Firmware update 1.86,
Hitching Post,1/5/2021,"MR, SG",ICE,13:40,ICE,"cold, clear",14.2,14.3,CR_HP_A3_20210105,CR_HP_A4_20210105,15.2,5.6,49.8,14.2,100,0.9,42.9,25,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hitching Post,2/2/2021,"MR, SG",ICE,12:15,ICE,cloudy,13.8,13.7,CR_HP_A3_20210202,CR_HP_A4_20210202,19.2,2.3,59.5,13.8,100,1,50.9,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hitching Post,3/2/2021,"MR, SG",ICE,12:15,ICE,"clear,sunny",14.5,13.7,CR_HP_A3_20210302,CR_HP_A4_20210302,22.1,2,68.4,13.8,100,0.8,59,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hitching Post,4/6/2021,MR,0.94,12:00,"yes, removed",sunny,14,13.9,CR_HP_A3_20210406,CR_HP_A4_20210406,23.5,1.8,80,13.8,100,0.8,68.6,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pressure tansducers downloaded. No Ice. Air transducer data from 8/7/2020 was set to a 1 second interval, no data. Chaned interval to an hour and setset.",
Hitching Post,5/5/2021,ERF,0.78,15:00,"yes, small sticks removed",sunny,13.6,13.5,CR_HP_A3_20210505,CR_HP_A4_20210505,23.8,2.7,93.9,13.7,100,1.5,81.1,25,15,1.4,1.32,1.34,1.26,1.34,1.5,1.46,1.34,0.26,0.2,0.24,0.2,0.3,0.28,0.28,0.2,ok,ok,ok; never returned fully,ok; never returned fully,,
Hitching Post,6/3/2021,ER,0.86,12:50,"willows, sticks removed",sunny and warm,13.9,13.4,CR_HP_A3_20210603,CR_HP_A4_20210603,22.1,3.5,109,13.7,100,1.4,94.4,25,15,1.3,1.3,NA,NA,NA,NA,NA,NA,0.25,0.25,NA,NA,NA,NA,NA,NA,ok,ok,NA,NA,"HP4 antenna PVC broke @3rd cross-member from River Left. Attempted to stabilize the broken PVC w/strips. HP3 = 6457 records. HP4 = 11,704. Did not tune either antenna",
Hitching Post,7/29/2021,"SG, ER",0.94,10:00,Sticks,sunny and warm,14.6,14.6,CR_HP_A3_20210729,CR_HP_A4_20210729,15,7.5,139.4,14.3,100,1.5,120.4,25,15,1.35,1.3,NA,NA,1.4,1.4,NA,NA,0.2,0.15,NA,NA,0.2,0.2,NA,NA,OK,OK,NA,NA,"Tuning was ok, did not attempt to tune. Temporary antenna repair is holding, but permanent repari is needed",
Hitching Post,8/31/2021,"SG, ER",0.9,13:10,sticks and algae,sunny and warm,14.1,14,CR_HP_A3_20210831,CR_HP_A4_20210831,21.6,3,156.9,13.7,100,1.4,135.6,25,15,1.25,1.2,NA,NA,1.4,1.2,NA,NA,0.2,0.15,NA,NA,0.3,0.2,NA,NA,ok,ok,NA,NA,Most detections on both antennas made by fish ending in 2723. Did not tune. Lots of algae. Repair broken PUC on HP4 w/rubber coupling and hose clamps,
Hitching Post,10/6/2021,"KK, SG",0.69,14:10,algae leaves,"Cloudy, Windy",13.7,13.9,CR_HP_A3_20211006,CR_HP_A4_20211006,18.4,3.2,175.3,13.8,100,1.5,152.3,25,15,1.39,1.19,NA,NA,1.43,1.29,NA,NA,0.14,0.09,NA,NA,0.25,0.16,NA,nA,NA,nA,NA,NA,NA,
Hitching Post,11/9/2021,"ER, SG, KK",0.7,11:10,some sticks,"sunny, cold",14.2,13.4,CR_HP_A3_2-2111-9,CR_HP_A4_20211109,19.2,4.5,191.9,14.3,100,1.5,167.7,25,15,1.3,1.4,NA,NA,1.4,1.45,NA,NA,0.2,0.2,NA,NA,0.3,0.2,NA,NA,OK,OK,NA,NA,"Replaced duckbill on HP4 (RL) and added 2 ratchet straps. Downloaded PTs, replaced marker tag batteries, tightened all antenna straps, 2-3 joints on HP4 have come unglued or are broken, tuning ok to good, downloaded detections",
Hitching Post,11/30/2021,"SG, KK",0.84,10:40,"ice, ice forming submerged on antenna/straps",sunny and cold,14.7,14.7,CR_HP_A3_20211130,CR_HP_A4_20211130,19,5.9,202.2,14.3,100,1.4,177.5,25,15,1.3,1.2,NA,NA,1.5,1.3,NA,NA,0.2,0.2,NA,NA,0.3,0.2,NA,NA,NA,NA,NA,NA,"updated FW from 1.86 to 1.992. Detection distances same before/after update. Initialized reader. Changed fields, corrected side code. GPS time correct. New straps and duckbill held. ",
Hitching Post,1/10/2022,"SG, KK",ICE,13:00,Ice/NA,-3F frozen solid,12.2,11.7,NA,NA,12.2,3.4,213.4,11.8,30,1.4,196.8,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"solar covered 75% in snow, battery at 30%. Quickly rose after clearing snow. River is frozen on the way under and past the bridge ",
Hitching Post,2/3/2022,"KK, SG",ICE,13:15,ICE/NA,"-8F, ton of snow",14,14.3,CR_HP_A3_20220203,CR_HP_A4_20220203,20.3,16.8,230.6,14.3,57,1.7,208.8,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"River frozen, battery capacity 57% on arrival, solar 95% covered. 100% after 3 minutes. Some weird symbols on initial reader connection on HP3. Replaced VGA/USB cable, pin was bent",
Hitching Post,3/11/2022,"KK, MK",ICE,12:00,Ice/NA,"Partly cloudy, 0F, lots of snow",13.5,13.7,CR_HP_A3_20220311,CR_HP_A4_20220311,24.6,2.9,253.7,13.8,100,1.6,227.1,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"river frozen, battery 100%, solar clear. Same fish on US antenna just hanging around. 142723 possible ghost on lower (DS) antenna ",
Hitching Post,4/6/2022,"ER, SI",0.73,12:00,some ice,"cold, windy, partly cloudy",14.1,13.9,CR_HP_A3_20220406,CR_HP_A4_20220406,24.2,4.1,269.7,13.7,100,1.5,279.7,25,15,1.35,0.9,NA,NA,0.25,Touching,NA,NA,0.25,Touching,NA,NA,0.15,0.2,NA,NA,Ok,Ok,NA,NA,HP4 needs at least 4 PVC repairs. HP3 needs at least 2 new duckbills and river straps,
Hitching Post,5/3/2022,"ER, MK, SI",0.63,9:20,"Sticks, log ","overcast, cool",14.2,14.2,CR_HP_A3_20220503,CR_HP_A4_20220503,19.4,4.1,283.9,14.5,100,1.5,252.2,25,15,1.4,0.95,NA,NA,1.3,1.15,NA,NA,0.2,0.15,NA,NA,0.2,0.2,NA,NA,ok,ok,NA,NA,Looks good,
Hitching Post,6/2/2022,"ER, SI, CD, JL",0.66,10:38,sticks,clear,NA,14.2,CR_HP_A3_20220602,CR_HP_A4_20220602,22.6,4.8,299.6,14.5,100,1.5,266,25,15,NA,1.1,NA,NA,NA,1.2,NA,NA,NA,0.2,NA,NA,NA,0.2,NA,NA,NA,ok,NA,NA,"Repair PVC near T joint on HP3, 7th from RR on downstream side. No detection distance on HP3 because there is a ghost tag on the antenna. ",
Hitching Post,6/28/2022,"CD, SI",1.05,10:48,"Sticks, Logs   ",sunny,14.1,14.5,CR_HP_A3_20220628,CR_HP_A4_20220628,22.2,5.1,313.3,14.3,100,1.4,277.6,25,15,1.32,1.25,NA,NA,1.5,1.25,NA,NA,0.4,0.3,NA,NA,0.35,0.23,NA,NA,OK,OK,NA,NA,"All looks the same, some sediment burial",
Hitching Post,8/9/2022,"SI, MK, ER, EF",0.8,14:40,"Sticks, Algae","sunny, clear",14.1,13.6,CR_HP_A3_20220809,CR_HP_A4_20220809,21.4,2.8,334.9,13.7,100,1.2,296,25,15,1.3,1.14,NA,NA,1.48,1.15,NA,NA,0.14,0.21,NA,NA,0.18,0.16,NA,NA,In Tune,In Tune,NA,NA,Antenna repaired! Full suite of detection distances. Added rubber gaskets and braced broken areas. ,
Hitching Post,8/29/2022,"SI, MK",0.78,18:20,None,Clear,13.2,13.3,CR_HP_A3_20220829,CR_HP_A4_20220829,13.6,0.7,345,13.3,100,1.3,304.9,25,15,1.75,1.65,NA,NA,1.74,1.69,NA,NA,0.41,Touching,NA,NA,0.38,0.22,NA,NA,Ok,OK,NA,NA,,
Hitching Post,10/5/2022,"BH, SI  ",0.62,14:40,Sediment,Clear,13.6,13.9,CR_HP_A3_20221005,CR_HP_A4_20221005,22.6,3,363.3,13.7,100,1.4,321.3,25,15,1.35,1.15,NA,NA,1.5,1.15,NA,NA,0.25,0.2,NA,NA,0.25,0.2,NA,NA,ok,ok,NA,NA,All good ,
Hitching Post,11/2/2022,"SI, LR",0.65,11:20,Sediment,clear,14.8,15,CR_HP_A3_20221102,CR_HP_A4_20221102,23.5,5.9,376.8,14.3,100,1.4,334.1,25,15,1.05,0.95,NA,NA,1,0.95,NA,NA,Touching,NA,NA,NA,0.2,NA,NA,NA,ok,not tuned,NA,NA,"Didn't tune due to time constraints, everything else looks good. Repairs holding up",
Hitching Post,12/1/2022,"SI, BH",ICE,12:00,ICE,"sunny, breezy",14.5,13.7,CR_HP_A3_20221201,CR_HP_A4_20221201,19,11.6,391,13.6,100,1.5,348.2,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Date/time off by one hour because of daylight savings, did NOT adjust time on reader. River mostly frozen, thalweg clear. Set cameras to time lapse, interval = every 30 min",
Hitching Post,12/27/2022,"SI, BH",ICE,11:35,ICE,"foggy, cold",11.7,12,CR_HP_A3_20221227,CR_HP_A4_20221227,12.4,3.2,395.1,12.1,44,1.5,360.1,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Knocked snow/ice off solar panels, battery capacity rose. Changed camera (RR) time lapse interval to 1 hour",
Hitching Post,2/1/2023,ER BH,ICE,13:00,Ice/snow,"Sunny, cold",13.4,14.4,CR_HP_A3_20230201,CR_HP_A4_20230201,14.9,31,407.6,14.3,100,1.5,373.9,25,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Solar panels were completely covered in snow, battery capacity was 14%. Capacity rose to 100% after clearing off snow. Changed both camera SD cards",
