RS_Num,River,RecaptureSite,Date,Time,UTM_X,UTM_Y,Species,Length,Weight,TagType,TagID,QAQC,TagSize,Ant,Event,FinClip,Mortality,Comments
3,Colorado River,Upper River Run,10/5/2021,15:00:00,418835,4439975,RBT,386,638,HA,230000228452,pass,32,Handheld,Recapture,adp,0,
3,Colorado River,Upper River Run,10/5/2021,15:00:00,418835,4439975,LOC,408,743,HA,230000228456,pass,32,Handheld,Recapture,adp,0,
3,Colorado River,Upper River Run,10/5/2021,15:00:00,418835,4439975,LOC,387,644,HA,230000228502,pass,32,Handheld,Recapture,adp,0,
3,Colorado River,Upper River Run,10/5/2021,15:00:00,418835,4439975,LOC,381,510,HA,230000228507,pass,32,Handheld,Recapture,adp,0,
3,Colorado River,Upper River Run,10/5/2021,15:00:00,418835,4439975,LOC,301,267,HA,230000228557,pass,32,Handheld,Recapture,adp,0,
3,Colorado River,Upper River Run,10/5/2021,15:00:00,418835,4439975,LOC,366,477,HA,230000228571,pass,32,Handheld,Recapture,adp,0,
3,Colorado River,Upper River Run,10/5/2021,15:00:00,418835,4439975,LOC,360,456,HA,230000228579,pass,32,Handheld,Recapture,adp,0,
3,Colorado River,Upper River Run,10/5/2021,15:00:00,418835,4439975,LOC,336,368,HA,230000228580,pass,32,Handheld,Recapture,adp,0,
3,Colorado River,Upper River Run,10/5/2021,15:00:00,418835,4439975,LOC,283,242,HA,230000228585,pass,32,Handheld,Recapture,adp,0,
3,Colorado River,Upper River Run,10/5/2021,15:00:00,418835,4439975,LOC,324,372,HA,230000228620,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,MTS,122,24,HA,226001581296,pass,12,Handheld,Recapture,right pelvic,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,MTS,126,31,HA,226001581321,pass,12,Handheld,Recapture,right pelvic,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,MTS,125,31,HA,226001581425,pass,12,Handheld,Recapture,right pelvic,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,MTS,139,37,HA,226001581457,pass,12,Handheld,Recapture,right pelvic,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,MTS,124,28,HA,226001581489,pass,12,Handheld,Recapture,right pelvic,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,439,783,HA,230000228316,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,375,399,HA,230000228327,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,444,890,HA,230000228333,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,397,524,HA,230000228334,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,323,296,HA,230000228337,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,304,282,HA,230000228338,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,261,166,HA,230000228340,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,273,218,HA,230000228345,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,270,217,HA,230000228348,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,288,224,HA,230000228351,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,277,207,HA,230000228360,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,324,289,HA,230000228369,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,252,149,HA,230000228370,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,419,683,HA,230000228375,pass,32,Handheld,Recapture,right pelvic + adp,0,"confirmed TagID, changed to recapture"
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,241,128,HA,230000228384,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,364,404,HA,230000228389,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,427,718,HA,230000228398,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,322,324,HA,230000228402,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,256,168,HA,230000228410,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,332,336,HA,230000228413,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,324,314,HA,230000228423,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,278,170,HA,230000228433,pass,32,Handheld,Recapture,adp,0,
4,Colorado River,Lower River Run,10/5/2021,18:00:00,418178,4440020,LOC,287,207,HA,230000228445,pass,32,Handheld,Recapture,adp,0,
6,Colorado River,Windy Gap Dam,10/6/2021,11:00:00,416101,4440146,LOC,399,553,HA,230000228686,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,337,360,HA,230000142514,fail,32,Handheld,Recapture,adp,0,not denoted as recapture on data sheet
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,358,465,HA,230000142520,pass,32,Handheld,Recapture,adp,0,
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,314,265,HA,230000142539,fail,32,Handheld,Recapture,adp,0,not denoted as recapture on data sheet
7,Colorado River,Hitching Post,5/2/2022,14:15:00,414476,4440260,LOC,276,225,HA,230000142540,pass,32,Handheld,Recapture,adp,0,
